label,scoring,local_cycles,local_margin,local_min_box,local_max_box,rmsd
cent_sc_vinardo_cyc3_lm0.5_min8.0_max12.0,vinardo,3,0.5,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.25_min8.0_max10.0,vinardo,3,0.25,8.0,10.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.25_min8.0_max12.0,vinardo,3,0.25,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.75_min8.0_max12.0,vinardo,3,0.75,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.75_min8.0_max10.0,vinardo,3,0.75,8.0,10.0,6.9116884631589635
cent_sc_vinardo_cyc2_lm0.5_min8.0_max10.0,vinardo,2,0.5,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.5_min8.0_max12.0,vinardo,2,0.5,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.75_min8.0_max10.0,vinardo,2,0.75,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.75_min8.0_max12.0,vinardo,2,0.75,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.25_min8.0_max12.0,vinardo,2,0.25,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.25_min8.0_max10.0,vinardo,2,0.25,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc1_lm0.25_min8.0_max12.0,vinardo,1,0.25,8.0,12.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.25_min8.0_max10.0,vinardo,1,0.25,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.75_min8.0_max10.0,vinardo,1,0.75,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.75_min8.0_max12.0,vinardo,1,0.75,8.0,12.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.5_min8.0_max10.0,vinardo,1,0.5,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.5_min8.0_max12.0,vinardo,1,0.5,8.0,12.0,7.10505189574126
